"ALIANÇA PARA O PROGRESSO","5732","https://github.com/cpdoc/dhbb/blob/master/text/5732.text","2","Q118655571","http://www.wikidata.org/entity/Q118655571","Aliança para o Progresso","",""
"ALIANÇA POPULAR CONTRA O ROUBO E O GOLPE","5733","https://github.com/cpdoc/dhbb/blob/master/text/5733.text","","","","","",""
"ALIANÇA POPULAR POR PÃO, TERRA E LIBERDADE","5734","https://github.com/cpdoc/dhbb/blob/master/text/5734.text","","","","","",""
"ALIANÇA RENOVADORA NACIONAL (Arena)","5735","https://github.com/cpdoc/dhbb/blob/master/text/5735.text","0","Q2745857","http://www.wikidata.org/entity/Q2745857","National Renewal Alliance Party","Q155","political party in Brazil supporting the military dictatorship (1966-1979)"
"ALIANÇA SOCIAL DO RIO GRANDE DO NORTE","5736","https://github.com/cpdoc/dhbb/blob/master/text/5736.text","","","","","",""
"ALIANÇA TRABALHISTA-LIBERAL DO AMAZONAS","5737","https://github.com/cpdoc/dhbb/blob/master/text/5737.text","","","","","",""
"ANISTIA","5738","https://github.com/cpdoc/dhbb/blob/master/text/5738.text","0","Q185943","http://www.wikidata.org/entity/Q185943","amnesty","","form of pardon which obliterates all legal remembrance of the offense for a class of people"
"ANISTIA","5738","https://github.com/cpdoc/dhbb/blob/master/text/5738.text","1","Q42970","http://www.wikidata.org/entity/Q42970","Amnesty International","Q145","non-governmental organization based in the United Kingdom"
"ANISTIA","5738","https://github.com/cpdoc/dhbb/blob/master/text/5738.text","2","Q2843739","http://www.wikidata.org/entity/Q2843739","Amnesty International USA","Q30","non-profit organization in the USA"
"REVOLTA DE ARAGARÇAS","5739","https://github.com/cpdoc/dhbb/blob/master/text/5739.text","0","Q20047625","http://www.wikidata.org/entity/Q20047625","Revolta de Aragarças","Q155",""
"ASSEMBLÉIA NACIONAL CONSTITUINTE DE 1934","5740","https://github.com/cpdoc/dhbb/blob/master/text/5740.text","","","","","",""
"ASSEMBLÉIA NACIONAL CONSTITUINTE DE 1946","5741","https://github.com/cpdoc/dhbb/blob/master/text/5741.text","0","Q98927879","http://www.wikidata.org/entity/Q98927879","1946 Constituent Assembly of Brazil","Q155","Brazilian constituent assembly called to replace the country's constitution after the end of the Vargas Era"
"ASSEMBLÉIA NACIONAL CONSTITUINTE DE 1987-88","5742","https://github.com/cpdoc/dhbb/blob/master/text/5742.text","0","Q4584404","http://www.wikidata.org/entity/Q4584404","1987-88 Constituent Assembly","Q155","Assembly held in 1987-88 to establish a new Constitution of the Federative Republic of Brazil"
"ATO ADICIONAL","5743","https://github.com/cpdoc/dhbb/blob/master/text/5743.text","0","Q4554401","http://www.wikidata.org/entity/Q4554401","1834 Additional Act","Q155","amendment to the Brazilian Constitution"
"ATO ADICIONAL","5743","https://github.com/cpdoc/dhbb/blob/master/text/5743.text","1","Q16495137","http://www.wikidata.org/entity/Q16495137","Ato Adicional de 1852","",""
"ATO ADICIONAL","5743","https://github.com/cpdoc/dhbb/blob/master/text/5743.text","2","Q19530118","http://www.wikidata.org/entity/Q19530118","Ato Adicional de 23 de dezembro de 1907","",""
"ATOS INSTITUCIONAIS","5744","https://github.com/cpdoc/dhbb/blob/master/text/5744.text","0","Q2018524","http://www.wikidata.org/entity/Q2018524","Institutional Acts","Q155","founding legislation of the Brazilian military dictatorship"
"BANCO DO BRASIL","5745","https://github.com/cpdoc/dhbb/blob/master/text/5745.text","0","Q610817","http://www.wikidata.org/entity/Q610817","Bank of Brazil","Q155","Brazilian banking institution"
"BANCO DO BRASIL","5745","https://github.com/cpdoc/dhbb/blob/master/text/5745.text","1","Q108220676","http://www.wikidata.org/entity/Q108220676","Imóvel à Rua Halfeld, nº 450","Q155","listed good in Juiz de Fora, Minas Gerais, Brazil"
"BANCO DO BRASIL","5745","https://github.com/cpdoc/dhbb/blob/master/text/5745.text","2","Q114408873","http://www.wikidata.org/entity/Q114408873","Banco do Brasil","Q155",""
"BANCO NACIONAL DA HABITAÇÃO (BNH)","5746","https://github.com/cpdoc/dhbb/blob/master/text/5746.text","0","Q18499704","http://www.wikidata.org/entity/Q18499704","National Housing Bank","Q155","extinct Brazilian public company focused on financing and producing real estate projects"
"BANCO NACIONAL DO DESENVOLVIMENTO ECONÔMICO E SOCIAL (BNDES)","5747","https://github.com/cpdoc/dhbb/blob/master/text/5747.text","","","","","",""
"A BATALHA","5748","https://github.com/cpdoc/dhbb/blob/master/text/5748.text","0","Q9556359","http://www.wikidata.org/entity/Q9556359","A Batalha","Q45","newspaper"
"A BATALHA","5748","https://github.com/cpdoc/dhbb/blob/master/text/5748.text","1","Q173034","http://www.wikidata.org/entity/Q173034","Battle of Midway","","decisive naval battle of World War II"
"A BATALHA","5748","https://github.com/cpdoc/dhbb/blob/master/text/5748.text","2","Q471976","http://www.wikidata.org/entity/Q471976","The Chronicles of Riddick","Q30","2004 film directed by David Twohy"
"BLOCO OPERÁRIO-CAMPONÊS (BOC)","5749","https://github.com/cpdoc/dhbb/blob/master/text/5749.text","","","","","",""
"BLOCO PARLAMENTAR REVOLUCIONÁRIO (BPR)","5750","https://github.com/cpdoc/dhbb/blob/master/text/5750.text","","","","","",""
"BRASIL EM MARCHA","5751","https://github.com/cpdoc/dhbb/blob/master/text/5751.text","","","","","",""
"BRASIL URGENTE","5752","https://github.com/cpdoc/dhbb/blob/master/text/5752.text","0","Q18462250","http://www.wikidata.org/entity/Q18462250","Brasil Urgente","Q155",""
