lemma,poscode,surface
estatuto racial,3,estatuto racial
estatuto da cidade,3,estatuto da cidade
estatuto da criança e do adolescente,3,estatuto da criança e do adolescente
estatuto da igualdade racial,3,estatuto da igualdade racial
estatuto da lavoura canavieira,3,estatuto da lavoura canavieira
estatuto da magistratura,3,estatuto da magistratura
estatuto da microempresa,3,estatuto da microempresa
estatuto da mulher,3,estatuto da mulher
estatuto da mulher casada,3,estatuto da mulher casada
estatuto da pessoa com deficiência,3,estatuto da pessoa com deficiência
estatuto da terra,3,estatuto da terra
estatuto das cidades,3,estatuto das cidades
estatuto das sociedades indígenas,3,estatuto das sociedades indígenas
estatuto das universidades brasileiras,3,estatuto das universidades brasileiras
estatuto do desarmamento,3,estatuto do desarmamento
estatuto do desporto e no congresso nacional,3,estatuto do desporto e no congresso nacional
estatuto do distrito federal,3,estatuto do distrito federal
estatuto do estrangeiro,3,estatuto do estrangeiro
estatuto do funcionalismo municipal,3,estatuto do funcionalismo municipal
estatuto do funcionalismo,3,estatuto do funcionalismo
estatuto do idoso,3,estatuto do idoso
estatuto do jornalista,3,estatuto do jornalista
estatuto do magistério superior,3,estatuto do magistério superior
estatuto do menor e do adolescente,3,estatuto do menor e do adolescente
estatuto do ministério público da união,3,estatuto do ministério público da união
estatuto do nascituro,3,estatuto do nascituro
estatuto do psol,3,estatuto do psol
estatuto do penitenciário,3,estatuto do penitenciário
estatuto do petróleo,3,estatuto do petróleo
estatuto do portador de necessidades especiais,3,estatuto do portador de necessidades especiais
estatuto do torcedor,3,estatuto do torcedor
estatuto do trabalhador rural,3,estatuto do trabalhador rural
estatuto do índio,3,estatuto do índio
estatuto dos cassados políticos,3,estatuto dos cassados políticos
estatuto dos cassados,3,estatuto dos cassados
